1
Horse(X0)
1000
Horse(y) ^ Father(x,y) => Horse(x)
Horse(X998)
Father(X0,X1)
Father(X1,X2)
Father(X2,X3)
Father(X3,X4)
Father(X4,X5)
Father(X5,X6)
Father(X6,X7)
Father(X7,X8)
Father(X8,X9)
Father(X9,X10)
Father(X10,X11)
Father(X11,X12)
Father(X12,X13)
Father(X13,X14)
Father(X14,X15)
Father(X15,X16)
Father(X16,X17)
Father(X17,X18)
Father(X18,X19)
Father(X19,X20)
Father(X20,X21)
Father(X21,X22)
Father(X22,X23)
Father(X23,X24)
Father(X24,X25)
Father(X25,X26)
Father(X26,X27)
Father(X27,X28)
Father(X28,X29)
Father(X29,X30)
Father(X30,X31)
Father(X31,X32)
Father(X32,X33)
Father(X33,X34)
Father(X34,X35)
Father(X35,X36)
Father(X36,X37)
Father(X37,X38)
Father(X38,X39)
Father(X39,X40)
Father(X40,X41)
Father(X41,X42)
Father(X42,X43)
Father(X43,X44)
Father(X44,X45)
Father(X45,X46)
Father(X46,X47)
Father(X47,X48)
Father(X48,X49)
Father(X49,X50)
Father(X50,X51)
Father(X51,X52)
Father(X52,X53)
Father(X53,X54)
Father(X54,X55)
Father(X55,X56)
Father(X56,X57)
Father(X57,X58)
Father(X58,X59)
Father(X59,X60)
Father(X60,X61)
Father(X61,X62)
Father(X62,X63)
Father(X63,X64)
Father(X64,X65)
Father(X65,X66)
Father(X66,X67)
Father(X67,X68)
Father(X68,X69)
Father(X69,X70)
Father(X70,X71)
Father(X71,X72)
Father(X72,X73)
Father(X73,X74)
Father(X74,X75)
Father(X75,X76)
Father(X76,X77)
Father(X77,X78)
Father(X78,X79)
Father(X79,X80)
Father(X80,X81)
Father(X81,X82)
Father(X82,X83)
Father(X83,X84)
Father(X84,X85)
Father(X85,X86)
Father(X86,X87)
Father(X87,X88)
Father(X88,X89)
Father(X89,X90)
Father(X90,X91)
Father(X91,X92)
Father(X92,X93)
Father(X93,X94)
Father(X94,X95)
Father(X95,X96)
Father(X96,X97)
Father(X97,X98)
Father(X98,X99)
Father(X99,X100)
Father(X100,X101)
Father(X101,X102)
Father(X102,X103)
Father(X103,X104)
Father(X104,X105)
Father(X105,X106)
Father(X106,X107)
Father(X107,X108)
Father(X108,X109)
Father(X109,X110)
Father(X110,X111)
Father(X111,X112)
Father(X112,X113)
Father(X113,X114)
Father(X114,X115)
Father(X115,X116)
Father(X116,X117)
Father(X117,X118)
Father(X118,X119)
Father(X119,X120)
Father(X120,X121)
Father(X121,X122)
Father(X122,X123)
Father(X123,X124)
Father(X124,X125)
Father(X125,X126)
Father(X126,X127)
Father(X127,X128)
Father(X128,X129)
Father(X129,X130)
Father(X130,X131)
Father(X131,X132)
Father(X132,X133)
Father(X133,X134)
Father(X134,X135)
Father(X135,X136)
Father(X136,X137)
Father(X137,X138)
Father(X138,X139)
Father(X139,X140)
Father(X140,X141)
Father(X141,X142)
Father(X142,X143)
Father(X143,X144)
Father(X144,X145)
Father(X145,X146)
Father(X146,X147)
Father(X147,X148)
Father(X148,X149)
Father(X149,X150)
Father(X150,X151)
Father(X151,X152)
Father(X152,X153)
Father(X153,X154)
Father(X154,X155)
Father(X155,X156)
Father(X156,X157)
Father(X157,X158)
Father(X158,X159)
Father(X159,X160)
Father(X160,X161)
Father(X161,X162)
Father(X162,X163)
Father(X163,X164)
Father(X164,X165)
Father(X165,X166)
Father(X166,X167)
Father(X167,X168)
Father(X168,X169)
Father(X169,X170)
Father(X170,X171)
Father(X171,X172)
Father(X172,X173)
Father(X173,X174)
Father(X174,X175)
Father(X175,X176)
Father(X176,X177)
Father(X177,X178)
Father(X178,X179)
Father(X179,X180)
Father(X180,X181)
Father(X181,X182)
Father(X182,X183)
Father(X183,X184)
Father(X184,X185)
Father(X185,X186)
Father(X186,X187)
Father(X187,X188)
Father(X188,X189)
Father(X189,X190)
Father(X190,X191)
Father(X191,X192)
Father(X192,X193)
Father(X193,X194)
Father(X194,X195)
Father(X195,X196)
Father(X196,X197)
Father(X197,X198)
Father(X198,X199)
Father(X199,X200)
Father(X200,X201)
Father(X201,X202)
Father(X202,X203)
Father(X203,X204)
Father(X204,X205)
Father(X205,X206)
Father(X206,X207)
Father(X207,X208)
Father(X208,X209)
Father(X209,X210)
Father(X210,X211)
Father(X211,X212)
